code,country,rank,last,first,sex,p1,p2,p3,p4,p5,total
ARG,Argentina,1,LIWSKI,EMILIANO,M ,7,6,0,0,7,20
ARG,Argentina,2,CARRANZA VELEZ,MATEO,M,7,7,0,0,3,17
ARG,Argentina,3,DI ZANZO,BRUNO,M,7,7,1,0,0,15
ARG,Argentina,4,RAIMUNDEZ,MATÍAS EZEQUIEL,M,7,7,0,0,0,14
ARG,Argentina,5,MASLIAH,JULIAN,M,7,7,0,0,0,14
ARG,Argentina,6,SOLO,CARLOS MIGUEL,M,7,7,0,0,0,14
ARG,Argentina,7,CABBRERA,JULIAN MAXIMO,M,7,3,0,0,4,14
ARG,Argentina,8,MOZZATTI,FRANCISCO,M,7,4,0,0,1,12
ARG,Argentina,9,LOUYS SANSO,JEAN PAUL,M,4,7,0,0,0,11
ARG,Argentina,10,MASSACCESI,LAURA ELENA,F,7,3,0,0,0,10
BGD,Bangladesh,1,Al Mahir,M Ahsan,M,7,7,2,0,1,17
BGD,Bangladesh,2,Rubab,Md. Maruf Hasan,M,7,0,7,0,0,14
BGD,Bangladesh,3,Hasan,Dewan Saadman,M,7,7,0,0,0,14
BGD,Bangladesh,4,Hasib,Ahmed Ittihad,M,7,7,0,0,0,14
BGD,Bangladesh,5,Chowdhury,Atonu Roy,M,7,6,0,0,0,13
BGD,Bangladesh,6,Quddus,Saad Bin,M,7,0,1,0,0,8
BGD,Bangladesh,7,Joy,Md Golam Musabbir,M,1,7,0,0,0,8
BGD,Bangladesh,8,Ninad,Muhaiminul Islam,M,0,7,0,0,0,7
BGD,Bangladesh,9,Khan,Tahjib Hossain,M,7,0,0,0,0,7
BGD,Bangladesh,10,Mondol,Swarup Siddharth,M,7,0,0,0,0,7
BRA,Brazil,1,Gomes Cabral,Pedro,M,7,7,1,0,7,22
BRA,Brazil,2,Peruzzo Trevizan,Bernardo,M,7,7,3,0,1,18
BRA,Brazil,3,Ribeiro Paiva,Gabriel,M,7,7,3,0,0,17
BRA,Brazil,4,Machado Lage,Marcelo,M,7,7,1,0,0,15
BRA,Brazil,5,Paschoal Longo,Olavo,M,7,7,0,0,0,14
BRA,Brazil,6,Salles Moreira,Rafael,M,7,7,0,0,0,14
BRA,Brazil,7,Daiki Ishiyi,Othon,M,7,7,0,0,0,14
BRA,Brazil,8,Andrade Carvalho Barros,Pablo,M,7,6,0,0,1,14
BRA,Brazil,9,Moreira Machado Neto,Francisco,M,7,7,0,0,0,14
BRA,Brazil,10,Prieto Lima,Samuel,M,7,6,0,0,1,14
KHM,Cambodia,1, NARITH,BOEM,M,7,1,0,0,0,8
KHM,Cambodia,2,SONGKIM,CHHAY,M,7,0,0,0,0,7
KHM,Cambodia,3,MENG PUTHISOPOR,KEATH,F,0,0,7,0,0,7
KHM,Cambodia,4,SIMINH,YAT,M,7,0,0,0,0,7
KHM,Cambodia,5,SENGLY,HUOT,M,4,0,0,0,0,4
KHM,Cambodia,6,CHANDETH,SOK,M,4,0,0,0,0,4
KHM,Cambodia,7,SOVANNARA,HOUNG,M,3,0,0,0,0,3
KHM,Cambodia,8,SEYHA,SUN,M,3,0,0,0,0,3
KHM,Cambodia,9,SEREYRACHANA,PEN,F,3,0,0,0,0,3
KHM,Cambodia,10,HONG,HOR,M,2,0,0,0,0,2
CAN,Canada,1,Rong,Victor,M,7,6,3,0,7,23
CAN,Canada,2,Zhao,William,M,7,7,7,0,0,21
CAN,Canada,3,Guo,Thomas,M,7,7,3,0,0,17
CAN,Canada,4,Zou,Alvin,M,7,7,1,0,0,15
CAN,Canada,5,Zhou,Zixiang,M,7,7,1,0,0,15
CAN,Canada,6,Jeon,Sebastian,M,7,7,1,0,0,15
CAN,Canada,7,Tang,David,M,6,7,0,0,1,14
CAN,Canada,8,Li,Michael,M,7,7,0,0,0,14
CAN,Canada,9,Zhao,Wayne,M,7,7,0,0,0,14
CAN,Canada,10,Zhao,Freddie,M,7,7,0,0,0,14
COL,Colombia,1,Reyes Beltran,Juan Esteban,M,7,7,0,0,1,15
COL,Colombia,2,Salazar,Gregorio,M,7,7,0,0,0,14
COL,Colombia,3,Diaz,Martin,M,3,7,0,0,0,10
COL,Colombia,4,Restrepo,Juan David,M,7,0,0,0,2,9
COL,Colombia,5,Aparicio,Esteban,M,7,1,0,0,0,8
COL,Colombia,6,Ortega,Jorge Eduardo,M,0,6,0,0,0,6
COL,Colombia,7,Rodriguez,Santiago,M,0,3,0,0,1,4
COL,Colombia,8,Ballen,Luis Angel,M,0,2,0,0,0,2
COL,Colombia,9,Castano,Cesar Emilio,M,1,0,0,0,1,2
COL,Colombia,10,Otero,Tomas,M,1,1,0,0,0,2
CRI,Costa Rica,1,Mata Boschini,Luis Diego,M,7,7,0,0,0,14
CRI,Costa Rica,2,Salazar Picado,Ingrid,F,3,4,0,0,0,7
CRI,Costa Rica,3,Álvarez Pacheco,José Javier,M,7,0,0,0,0,7
CRI,Costa Rica,4,Solórzano Mayorga,Danny,M,5,0,0,0,0,5
CRI,Costa Rica,5,Solano Saltachín,Carlos,M,5,0,0,0,0,5
CRI,Costa Rica,6,Salas Jiménez,Eduardo,M,0,4,0,0,0,4
CRI,Costa Rica,7,Brenes Calderón,José Leonardo,M,0,0,0,0,0,0
CRI,Costa Rica,8,Vásquez Sandí,Maricruz,F,0,0,0,0,0,0
ECU,Ecuador,1,Barco Santana,Valeria Estefania,F,7,0,0,0,0,7
ECU,Ecuador,2,Yu,Giacomo,M ,2,0,0,0,0,2
ECU,Ecuador,3,Indacochea Rosado,María Gratzia,F,0,1,0,0,0,1
ECU,Ecuador,4,Suarez,Pedro,M,0,1,0,0,0,1
ECU,Ecuador,5,Zambrano,Leonardo,M,0,0,0,0,1,1
ECU,Ecuador,6,Wu,Zhiron,F,0,0,0,0,0,0
ECU,Ecuador,7,Soriano,Julianne,F,0,0,0,0,0,0
ECU,Ecuador,8,Gallegos,Stephanie,F,0,0,0,0,0,0
ECU,Ecuador,9,Zurita Doumet,Salomé,F,0,0,0,0,0,0
ECU,Ecuador,10,Zurita Doumet,Ana Victoria,F,0,0,0,0,0,0
SLV,El Salvador,1,Valle López ,Amaury Antonio,M,7,7,2,0,0,16
SLV,El Salvador,2,Punyed González,Jaime Sebastián,M,7,7,0,0,0,14
SLV,El Salvador,3,Cabrera Guardado,José Manuel,M,4,0,0,0,0,4
SLV,El Salvador,4,Jiménez Calles ,Gabriel Alejandro,M,4,0,0,0,0,4
SLV,El Salvador,5,Cerna Meza,Andrea Nicole,F,0,0,0,0,1,1
SLV,El Salvador,6,Morales Peña,Ricardo Josué,M,0,0,0,0,1,1
SLV,El Salvador,7,Martínez Girón,Andrés Agustín,M,1,0,0,0,0,1
GTM,Guatemala,1,Santos Sagastume,Edgar Alessandro,M,5,1,3,0,0,9
GTM,Guatemala,2,Pallais García,Alejandro,M,0,1,0,0,0,1
HKG,Hong Kong,1,Leung ,Harris,M,7,7,0,0,7,21
HKG,Hong Kong,2,Lai,Wai Lok,M,7,7,0,0,0,14
HKG,Hong Kong,3,Lee ,Wan,M,7,7,0,0,0,14
HKG,Hong Kong,4,Li ,Min Hang,M,7,7,0,0,0,14
HKG,Hong Kong,5,Tong ,Nok To Omega,M,7,7,0,0,0,14
HKG,Hong Kong,6,Xu,Bruce Changlong,M,7,7,0,0,0,14
HKG,Hong Kong,7,Ip,Tsz Lok,M,7,5,0,0,1,13
HKG,Hong Kong,8,Ho,Sui Kei,M,7,4,0,0,0,11
HKG,Hong Kong,9,Chu ,Cheuk Hei,M,7,2,0,0,0,9
HKG,Hong Kong,10,Sheremeta,Daniel Weili,M,7,0,0,0,1,8
IND,India,1,SRIVASTAVA,PRANJAL,M,7,7,4,0,6,24
IND,India,2,DHANKAR,NISHANT,M,7,5,4,0,0,16
IND,India,3,SWAMINATHAN,HARIHAR,M,7,7,1,0,0,15
IND,India,4,GHOSH,RAJARSHI KANTA,M,7,7,0,0,1,15
IND,India,5,NISHVAAN,SAI H.,M,7,7,0,0,1,15
IND,India,6,KULKARNI,ANISH YOGESH,M,7,7,0,0,1,15
