code,country,rank,last,first,sex,p1,p2,p3,p4,p5,total,award
ARG,Argentina,1,Digestani,Uriel,M,7,7,0,2,0,16,Silver
ARG,Argentina,2,Klir,Felipe Bautista,M,7,7,0,1,0,15,Silver
ARG,Argentina,3,Sosa,Emiliano,M,7,6,0,0,0,13,Bronze
ARG,Argentina,4,Elizalde,María de los Milagros,F,7,6,0,0,0,13,Bronze
ARG,Argentina,5,Flores,Iván Nicolás,M,7,6,0,0,0,13,Bronze
ARG,Argentina,6,Mauri,Facundo,M,2,7,0,0,0,9,Hon. Men.
ARG,Argentina,7,Crovara Subia,Federico Stephen,M,7,1,0,0,0,8,Hon. Men.
ARG,Argentina,8,Kechichian,Facundo Aram,M,0,7,0,0,0,7,Hon. Men.
ARG,Argentina,9,Naguil,Ignacio Javier,M,0,7,0,0,0,7,Hon. Men.
ARG,Argentina,10,Álvarez Oviedo,Matías,M,0,7,0,0,0,7,Hon. Men.
AUS,Australia,1,Cheah,William,M,7,7,0,0,0,14,Bronze
AUS,Australia,2,Xu,Iris,F,7,7,0,0,0,14,Bronze
AUS,Australia,3,Bariss,Joel,M,7,7,0,0,0,14,Bronze
AUS,Australia,4,Zhang,Zihui,F,7,7,0,0,0,14,Bronze
AUS,Australia,5,Xu,Cloris,F,7,7,0,0,0,14,Bronze
AUS,Australia,6,Zhu,Joseph,M,7,7,0,0,0,14,Bronze
AUS,Australia,7,Qiu,Alex,M,7,7,0,0,0,14,Bronze
AUS,Australia,8,Yang,Eason,M,7,7,0,0,0,14,Hon. Men.
AUS,Australia,9,Szabo-Virag,Ben,M,7,7,0,0,0,14,Hon. Men.
AUS,Australia,10,Li,Amber,F,7,7,0,0,0,14,Hon. Men.
AZE,Azerbaijan,1,Mahmudova,Sevinj,F,7,4,0,0,0,11,Hon. Men.
AZE,Azerbaijan,2,Asgarov,Mirhabib,M,7,2,0,0,0,9,Hon. Men.
AZE,Azerbaijan,3,Karimli,Ibrahim,M,7,0,0,0,2,9,Hon. Men.
AZE,Azerbaijan,4,Gadimli,Omar,M,7,1,0,0,0,8,Hon. Men.
AZE,Azerbaijan,5,Najaf,Mehdi,M,0,7,0,1,0,8,Hon. Men.
AZE,Azerbaijan,6,Mammadov,Telman,M,7,0,0,0,0,7,Hon. Men.
AZE,Azerbaijan,7,Gambarova,Rafiga,F,7,0,0,0,0,7,Hon. Men.
AZE,Azerbaijan,8,Bakirov,Said,M,7,0,0,0,0,7,Hon. Men.
AZE,Azerbaijan,9,Asadova,Fatima,F,7,0,0,0,0,7,Hon. Men.
AZE,Azerbaijan,10,Atayev,Fuad,M,7,0,0,0,0,7,Hon. Men.
BOL,Bolivia,1,Villlán Gabriel,Luis André,M,7,0,0,0,7,14,Bronze
BOL,Bolivia,2,Gonzales Tapia,Brittany Celeste,F,0,2,0,0,0,2,
BRA,Brazil,1,Silva dos Santos,João Victor,M,7,7,0,0,7,21,Gold
