code,country,rank,last,first,sex,p1,p2,p3,p4,p5,total,award
AUS,Australia,1,Calegari,Danny,,-,-,-,-,-,29,Gold
AUS,Australia,2,Davey,Kevin,,-,-,-,-,-,25,Silver
AUS,Australia,3,Kisin,Mark ,,-,-,-,-,-,22,Silver
AUS,Australia,4,Offer,Alan,,-,-,-,-,-,22,Bronze
AUS,Australia,5,Weatherson,Brian,,-,-,-,-,-,18,Bronze
AUS,Australia,6,Yip,Dominic,,-,-,-,-,-,17,Bronze
AUS,Australia,7,Gleeson,Philip,,-,-,-,-,-,16,Bronze
AUS,Australia,8,Eckett,Christopher,,-,-,-,-,-,16,Hon. Men.
AUS,Australia,9,Loy,Clement,,-,-,-,-,-,16,Hon. Men.
AUS,Australia,10,Wong,Alan ,,-,-,-,-,-,15,Hon. Men.
