code,country,rank,last,first,sex,p1,p2,p3,p4,p5,total,award
AUS,Australia,1,Guo,Ivan,M,3,7,6,7,1,24,Gold
AUS,Australia,2,Atkins,Ross,M,6,7,4,0,2,19,Silver
AUS,Australia,3,Ramchen,Kim,M,7,7,1,0,0,15,Bronze
AUS,Australia,4,Chen,Zhihong,M,7,7,1,0,0,15,Bronze
AUS,Australia,5,Chung,Jason,M,7,7,1,0,0,15,Bronze
AUS,Australia,6,Chan,Etienne,M,7,7,1,0,0,15,Bronze
AUS,Australia,7,Ma,Marshall,M,4,7,1,1,2,15,Bronze
AUS,Australia,8,Field,Laurence,M,3,7,3,0,1,14,Hon. Men.
AUS,Australia,9,Lai,Jensen,M,0,7,6,0,0,13,Hon. Men.
AUS,Australia,10,Leong,Chris,M,7,0,3,0,2,12,Hon. Men.
