code,country,rank,last,first,sex,p1,p2,p3,p4,p5,total,award
AUS,Australia,1,Elvey Price,Andrew,,7,0,1,7,7,22,Gold
AUS,Australia,2,Chong,Aaron,,7,0,0,7,7,21,Silver
AUS,Australia,3,Lei,Yitao,,0,0,0,7,2,9,Bronze
AUS,Australia,4,Wang,Zejun,,0,1,0,6,2,9,Bronze
AUS,Australia,5,Ryba,Christopher,,0,1,0,7,0,8,Bronze
AUS,Australia,6,Ma,Dana,,1,0,0,7,0,8,Bronze
AUS,Australia,7,Lu,Colin,,0,0,0,6,2,8,Bronze
AUS,Australia,8,Wormell,John,,0,0,0,7,0,7,Hon. Men.
AUS,Australia,9,Park,Kiho,,0,0,0,7,0,7,Hon. Men.
AUS,Australia,10,Liang,Alfred,,0,0,0,3,2,5,
