code,country,rank,last,first,sex,p1,p2,p3,p4,p5,total,award
AUS,Australia,1,Weatherson,Brian,,-,-,-,-,-,30,Gold
AUS,Australia,2,Wilson,Simon,,-,-,-,-,-,19,Silver
AUS,Australia,3,Yip,Dominic,,-,-,-,-,-,17,Silver
AUS,Australia,4,Adam,Timothy,,-,-,-,-,-,16,Bronze
AUS,Australia,5,Lau,Joseph,,-,-,-,-,-,16,Bronze
AUS,Australia,6,Cameron,Luke,,-,-,-,-,-,16,Bronze
AUS,Australia,7,Wong,Alan ,,-,-,-,-,-,14,Bronze
AUS,Australia,8,Di Pasquale,Angelo,,-,-,-,-,-,13,Hon. Men.
AUS,Australia,9,Sellner,Stuart,,-,-,-,-,-,12,Hon. Men.
AUS,Australia,10,Sengupta,Aghik,,-,-,-,-,-,12,Hon. Men.
