code,country,rank,last,first,sex,p1,p2,p3,p4,p5,total,award
AUS,Australia,1,Jenkins,Martin,,6,1,7,5,0,19,Gold
AUS,Australia,2,Kusilek,Jonathan,,7,7,1,2,0,17,Silver
AUS,Australia,3,Mathews,Daniel,,7,1,7,2,0,17,Silver
AUS,Australia,4,Do,Norman,,6,1,7,1,0,15,Bronze
AUS,Australia,5,Farrar,Stephen,,7,0,0,2,2,11,Bronze
AUS,Australia,6,Ghan,Justin,,7,1,1,2,0,11,Bronze
AUS,Australia,7,Varodayan,David,,7,1,1,2,0,11,Bronze
AUS,Australia,8,Bramanis,Damian,,0,1,7,2,0,10,Hon. Men.
AUS,Australia,9,Cheeseman,Andrew,,7,1,0,2,0,10,Hon. Men.
AUS,Australia,10,Lam,Thomas,,6,0,2,2,0,10,
