code,country,rank,last,first,sex,p1,p2,p3,p4,p5,total,award
AUS,Australia,1,Wilcox,Stewart,M,7,7,7,7,7,35,NA
AUS,Australia,2,Chan,David,M,7,7,1,0,7,22,NA
AUS,Australia,3,Wang,David,M,4,5,0,7,5,21,NA
AUS,Australia,4,Zhao,Yiying,F,5,7,4,1,2,19,NA
AUS,Australia,5,Kwok,Andrew,M,1,6,0,7,4,18,NA
AUS,Australia,6,Sheridan,Nicholas,M,5,1,7,2,3,18,NA
AUS,Australia,7,Chen,Zhihong,M,0,6,1,7,3,17,NA
AUS,Australia,8,Kelareva,Elena,F,5,6,1,0,4,16,NA
AUS,Australia,9,Guo,Ivan,M,0,5,1,7,1,14,NA
AUS,Australia,10,Seymour,Michael,M,0,6,0,3,4,13,NA
